FIPS,MHI_19,MHIMOE_19
440090513041,92375,16369
440070137011,92401,18001
440070146002,92672,23904
440050409003,92684,33807
440030215013,92760,25243
440070037004,92781,13086
440070158001,92903,8033
440050409002,93611,7439
440070136001,93616,8877
440010301003,93750,13680
440030214011,93750,19579
440090513021,93750,32069
440030210023,93976,10793
440070116002,94176,18519
440070113021,94507,10242
440070133002,94792,45549
440090504011,95156,26886
440050413004,95333,34784
440070170003,95417,29561
440070128013,95446,19170
440070133001,95667,24901
440090507006,95707,28050
440070132023,95976,51640
440070114034,96127,15010
440090505003,96319,27348
440070107021,96331,7510
440070132021,96433,21754
440070128032,96488,18766
440070119012,96806,59217
440030224001,96875,19246
440070140005,96923,45684
440010309011,97031,55660
440050407002,97396,38037
440070126025,97829,34402
440070024002,97938,20784
440070143001,98000,60220
440070101023,98042,10182
440030207022,98063,17345
440070126011,98077,15055
440030213002,98224,42983
440090510001,98333,75409
440070131023,98438,15757
440090510002,98958,31115
440070118005,99286,31612
440070157003,99423,10723
440070113023,99468,20894
440070122004,99593,16613
440030214013,99861,9742
440090509022,100087,26372
440070113013,100281,16940
440070101012,100341,51608
440010309013,100588,23273
440070032002,100875,33094
440070120001,101140,26544
440090506004,101250,20300
440030209014,101429,12247
440070142003,101591,8254
440090515024,101776,20718
440030217004,102125,24799
440070114014,102143,26301
440070132014,102167,30706
440070117022,102273,22797
440090511013,102679,20627
440030205003,102778,50266
440070113022,103162,13690
440090511011,103333,99468
440030223001,103587,18059
440070032003,103750,30942
440070134002,103906,35337
440090507002,104796,12342
440050401023,105069,20073
440070139001,105179,39131
440070023005,105466,70213
440070132012,105670,30870
440070127021,105688,18146
440090509023,105804,50702
440050401036,105948,26845
440090515021,106029,36587
440070130012,106125,21011
440090513052,106223,15702
440010301001,106250,28800
440030206014,106250,7886
440090513023,106389,22722
440090515025,106420,35843
440090513061,106654,15586
440090510003,106750,27030
440070133003,106838,22162
440050417023,106979,55196
440090513022,107014,43276
440090501021,107596,23203
440050404001,107841,17106
440010302002,107891,27821
440030218002,107917,25092
440010309022,108065,24429
440070134003,108445,20393
440010302003,109079,44988
440070169002,109261,8406
440030207033,109712,35452
440030222021,110000,15583
440050413001,110338,18040
440010306013,110833,13557
440070033002,111125,10416
440050413005,111250,23377
440030221002,111319,31691
440030222013,111838,40347
440090512012,112711,22677
440070130022,112917,73101
440090501041,114118,15924
440050401022,114135,17835
440030209042,114250,28652
440070114031,114704,18079
440030219032,115000,31547
440070031001,115169,63787
440030216001,115250,19402
440090506003,115625,27475
440070131013,115650,46846
440070122003,117131,18714
440070122002,117716,40177
440070126024,117879,42883
440070165001,118063,26610
440070127012,118203,19286
440090507004,118603,96253
440030221004,119063,56823
440050401035,119286,45150
440070130023,119630,27837
440070144002,119750,20329
440070112001,120094,56943
440070145011,120341,20398
440070145012,120714,22047
440010302001,120909,14704
440030213004,121196,42174
440090501042,121442,22957
440010303003,121688,26523
440070117013,123056,41849
440090513063,123250,24032
440070114015,123750,20680
440050413002,124063,93292
440070036022,124583,39947
